-72.6,48.2,1
-37.7,176.2,1
-36.9,174.7,1
-34,151,1
-33.9,151,1
-33.9,151.1,2
-33.9,151.2,2
-33.8,150.8,1
-33.7,151.1,1
0,0,335
21.3,-158.1,129
21.3,-158,132
21.3,-157.9,677
21.3,-157.8,1255
21.3,-157.7,115
21.3,74.6,1
21.4,-158.2,143
21.4,-158.1,59
21.4,-158,639
21.4,-157.9,314
21.4,-157.8,198
21.4,-157.7,144
21.5,-158.2,59
21.5,-158.1,11
21.5,-158,165
21.5,-157.9,4
21.5,-157.8,14
21.6,-158.2,4
21.6,-158.1,76
21.6,-158,6
21.6,-157.9,36
21.7,-158.1,14
21.7,-158,30
21.7,-157.9,7
25.2,-80.4,1
25.6,-80.5,1
25.6,-80.4,14
25.6,-80.3,35
25.7,-80.5,36
25.7,-80.4,7
25.7,-80.3,22
25.7,-80.2,70
25.8,-80.4,2
25.8,-80.3,144
25.8,-80.2,1755
25.9,-97.5,1465
25.9,-97.4,430
25.9,-80.4,7
25.9,-80.3,250
25.9,-80.2,108
25.9,-80.1,1
26,-97.6,2
26,-97.5,419
26,-97.4,38
26,-80.4,12
26,-80.3,150
26,-80.2,267
26,-80.1,22
26.1,-98,1
26.1,-97.9,4
26.1,-97.8,1
26.1,-97.6,1
26.1,-97.5,2
26.1,-80.4,13
26.1,-80.3,479
26.1,-80.2,331
26.1,-80.1,27
26.2,-98.3,5
26.2,-98.2,2
26.2,-98.1,1
26.2,-98,3
26.2,-97.7,2
26.2,-80.3,16
26.2,-80.2,48
26.2,-80.1,25
26.3,-81.9,2
26.3,-81.8,332
26.3,-81.7,27
26.3,-80.3,2
26.3,-80.2,8
26.3,-80.1,82
26.4,-81.9,101
26.4,-81.8,417
26.4,-81.7,10
26.4,-80.2,3
26.4,-80.1,322
26.5,-82.2,6
26.5,-82.1,16
26.5,-82,212
26.5,-81.9,821
26.5,-81.8,647
26.5,-81.7,14
26.5,-81.6,71
26.5,-80.1,47
26.6,-82.2,7
26.6,-82.1,90
26.6,-82,337
26.6,-81.9,1066
26.6,-81.8,297
26.6,-81.7,1094
26.6,-81.6,561
26.6,-80.2,4
26.6,-80.1,21
26.6,-80,3
26.7,-82.3,3
26.7,-82.2,11
26.7,-82.1,25
26.7,-82,145
